,area (pixels),area percentage,dish_name,dish_number,full_file_name,hours
0,89857,0.153130539,VID774,F2,VID774_F2_1_00d00h00m.tif,0
1,80864,0.137805044,VID774,F2,VID774_F2_1_00d01h00m.tif,1
2,76352,0.130115883,VID774,F2,VID774_F2_1_00d02h00m.tif,2
3,75042,0.127883436,VID774,F2,VID774_F2_1_00d03h00m.tif,3
4,73072,0.124526244,VID774,F2,VID774_F2_1_00d04h00m.tif,4
5,71903,0.122534083,VID774,F2,VID774_F2_1_00d05h00m.tif,5
6,71770,0.12230743,VID774,F2,VID774_F2_1_00d06h00m.tif,6
7,70714,0.120507839,VID774,F2,VID774_F2_1_00d07h00m.tif,7
8,70035,0.119350716,VID774,F2,VID774_F2_1_00d08h00m.tif,8
9,71541,0.121917178,VID774,F2,VID774_F2_1_00d09h00m.tif,9
10,70803,0.120659509,VID774,F2,VID774_F2_1_00d10h00m.tif,10
11,72351,0.123297546,VID774,F2,VID774_F2_1_00d12h00m.tif,12
12,62495,0.106501363,VID774,F2,VID774_F2_1_00d13h00m.tif,13
13,67232,0.11457396,VID774,F2,VID774_F2_1_00d14h00m.tif,14
14,70841,0.120724267,VID774,F2,VID774_F2_1_00d15h00m.tif,15
15,61263,0.10440184,VID774,F2,VID774_F2_1_00d16h00m.tif,16
16,74994,0.127801636,VID774,F2,VID774_F2_1_00d17h00m.tif,17
17,66191,0.112799932,VID774,F2,VID774_F2_1_00d18h00m.tif,18
18,68911,0.117435242,VID774,F2,VID774_F2_1_00d19h00m.tif,19
19,79277,0.135100545,VID774,F2,VID774_F2_1_00d20h00m.tif,20
20,74366,0.126731425,VID774,F2,VID774_F2_1_00d21h00m.tif,21
21,76740,0.130777096,VID774,F2,VID774_F2_1_00d22h00m.tif,22
22,67152,0.114437628,VID774,F2,VID774_F2_1_00d23h00m.tif,23
23,76863,0.130986708,VID774,F2,VID774_F2_1_01d00h00m.tif,24
24,68493,0.116722904,VID774,F2,VID774_F2_1_01d01h00m.tif,25
25,68192,0.116209952,VID774,F2,VID774_F2_1_01d02h00m.tif,26
26,67799,0.115540218,VID774,F2,VID774_F2_1_01d03h00m.tif,27
27,72933,0.124289366,VID774,F2,VID774_F2_1_01d04h00m.tif,28
28,69992,0.119277437,VID774,F2,VID774_F2_1_01d05h00m.tif,29
29,72063,0.122806748,VID774,F2,VID774_F2_1_01d06h00m.tif,30
30,67395,0.114851738,VID774,F2,VID774_F2_1_01d07h00m.tif,31
31,70339,0.11986878,VID774,F2,VID774_F2_1_01d08h00m.tif,32
32,70386,0.119948875,VID774,F2,VID774_F2_1_01d09h00m.tif,33
33,72973,0.124357532,VID774,F2,VID774_F2_1_01d10h00m.tif,34
34,156389,0.266511588,VID774,E10,VID774_E10_1_00d00h00m.tif,0
35,150151,0.25588105,VID774,E10,VID774_E10_1_00d01h00m.tif,1
36,146753,0.25009032,VID774,E10,VID774_E10_1_00d02h00m.tif,2
37,145288,0.247593729,VID774,E10,VID774_E10_1_00d03h00m.tif,3
38,143837,0.245120995,VID774,E10,VID774_E10_1_00d04h00m.tif,4
39,139430,0.23761077,VID774,E10,VID774_E10_1_00d05h00m.tif,5
40,142444,0.242747103,VID774,E10,VID774_E10_1_00d06h00m.tif,6
41,142268,0.242447171,VID774,E10,VID774_E10_1_00d07h00m.tif,7
42,139544,0.237805044,VID774,E10,VID774_E10_1_00d08h00m.tif,8
43,135652,0.231172461,VID774,E10,VID774_E10_1_00d09h00m.tif,9
44,134624,0.229420586,VID774,E10,VID774_E10_1_00d10h00m.tif,10
45,135725,0.231296864,VID774,E10,VID774_E10_1_00d12h00m.tif,12
46,134356,0.228963872,VID774,E10,VID774_E10_1_00d13h00m.tif,13
47,134842,0.229792093,VID774,E10,VID774_E10_1_00d14h00m.tif,14
48,136216,0.232133606,VID774,E10,VID774_E10_1_00d15h00m.tif,15
49,134340,0.228936605,VID774,E10,VID774_E10_1_00d16h00m.tif,16
50,132211,0.225308453,VID774,E10,VID774_E10_1_00d17h00m.tif,17
51,132064,0.225057941,VID774,E10,VID774_E10_1_00d18h00m.tif,18
52,132805,0.226320723,VID774,E10,VID774_E10_1_00d19h00m.tif,19
53,131823,0.224647239,VID774,E10,VID774_E10_1_00d20h00m.tif,20
54,131673,0.224391616,VID774,E10,VID774_E10_1_00d21h00m.tif,21
55,129602,0.220862304,VID774,E10,VID774_E10_1_00d22h00m.tif,22
56,128362,0.218749148,VID774,E10,VID774_E10_1_00d23h00m.tif,23
57,130957,0.223171438,VID774,E10,VID774_E10_1_01d00h00m.tif,24
58,127401,0.217111452,VID774,E10,VID774_E10_1_01d01h00m.tif,25
59,128659,0.219255283,VID774,E10,VID774_E10_1_01d02h00m.tif,26
60,127669,0.217568166,VID774,E10,VID774_E10_1_01d03h00m.tif,27
61,128183,0.218444104,VID774,E10,VID774_E10_1_01d04h00m.tif,28
62,124747,0.212588616,VID774,E10,VID774_E10_1_01d05h00m.tif,29
63,123761,0.210908316,VID774,E10,VID774_E10_1_01d06h00m.tif,30
64,124678,0.212471029,VID774,E10,VID774_E10_1_01d07h00m.tif,31
